Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
QuickSort,10000,inversa,13,25.258099998609396,0.23798370361328125
MergeSort,10000,inversa,13,29.977800000779098,0.19073486328125
QuickSort,10000,inversa,14,25.66360000128043,0.23798370361328125
MergeSort,10000,inversa,14,31.07540000019071,0.19073486328125
QuickSort,10000,inversa,15,23.927199999889126,0.23798370361328125
MergeSort,10000,inversa,15,30.603100000007544,0.19073486328125
QuickSort,10000,inversa,16,25.93920000072103,0.23798370361328125
MergeSort,10000,inversa,16,30.64740000081656,0.19073486328125
QuickSort,10000,inversa,17,22.449600000982173,0.23798370361328125
MergeSort,10000,inversa,17,30.967799999416457,0.19073486328125
QuickSort,10000,inversa,18,21.71959999941464,0.23798370361328125
MergeSort,10000,inversa,18,32.42780000073253,0.19073486328125
QuickSort,10000,inversa,19,20.815500000026077,0.23798370361328125
MergeSort,10000,inversa,19,37.38899999916612,0.19073486328125
QuickSort,10000,inversa,20,24.61080000102811,0.23798370361328125
MergeSort,10000,inversa,20,30.431400000452413,0.19073486328125
QuickSort,10000,inversa,21,24.603199999546632,0.23798370361328125
MergeSort,10000,inversa,21,38.569999998799176,0.19073486328125
QuickSort,10000,inversa,22,24.878399999579415,0.23798370361328125
MergeSort,10000,inversa,22,29.848400001355913,0.19073486328125
QuickSort,10000,inversa,23,22.264699999141158,0.23798370361328125
MergeSort,10000,inversa,23,33.37219999957597,0.19073486328125
QuickSort,10000,inversa,24,27.418899999247515,0.23798370361328125
MergeSort,10000,inversa,24,34.27519999968354,0.19073486328125
QuickSort,10000,inversa,25,22.82770000056189,0.23798370361328125
MergeSort,10000,inversa,25,29.477699999915785,0.19073486328125
QuickSort,10000,inversa,26,47.75150000023132,0.23798370361328125
MergeSort,10000,inversa,26,93.12429999954475,0.19073486328125
QuickSort,10000,inversa,27,26.15739999964717,0.23798370361328125
MergeSort,10000,inversa,27,35.87309999966237,0.19073486328125
QuickSort,10000,inversa,28,30.055499999434687,0.23798370361328125
MergeSort,10000,inversa,28,31.962600000042585,0.19073486328125
QuickSort,10000,inversa,29,25.378800000908086,0.23798370361328125
MergeSort,10000,inversa,29,33.40530000059516,0.19073486328125
QuickSort,10000,inversa,30,20.805800000744057,0.23798370361328125
MergeSort,10000,inversa,30,30.520100001012906,0.19073486328125
QuickSort,100000,aleatoria,1,503.1899000005069,2.8231353759765625
MergeSort,100000,aleatoria,1,566.5435000009893,1.6466751098632812
QuickSort,100000,aleatoria,2,528.6949000001187,3.205413818359375
MergeSort,100000,aleatoria,2,544.0378000002966,1.6466827392578125
QuickSort,100000,aleatoria,3,474.9171999992541,3.5144119262695312
MergeSort,100000,aleatoria,3,500.10680000013963,1.6466751098632812
QuickSort,100000,aleatoria,4,461.983400000463,3.8889083862304688
MergeSort,100000,aleatoria,4,495.5434999992576,1.6466751098632812
QuickSort,100000,aleatoria,5,571.6367000004539,3.24835205078125
MergeSort,100000,aleatoria,5,503.928400001314,1.6466751098632812
QuickSort,100000,aleatoria,6,524.2546000008588,3.5835418701171875
MergeSort,100000,aleatoria,6,488.27170000004116,1.6466751098632812
QuickSort,100000,aleatoria,7,523.6199000009947,4.3720855712890625
MergeSort,100000,aleatoria,7,482.0140000010724,1.6466827392578125
QuickSort,100000,aleatoria,8,503.37820000095235,3.7987747192382812
MergeSort,100000,aleatoria,8,498.21390000033716,1.646697998046875
QuickSort,100000,aleatoria,9,529.2236000004777,5.207489013671875
